distance,duration,gender,age_group
0.0,0.0,F,18 - 34
70.33,394.2,M,35 - 54
14.65,79.06666666666666,M,35 - 54
41.41,195.66666666666663,M,18 - 34
41.34,209.1,M,35 - 54
60.18,289.6,F,35 - 54
67.89,375.5333333333333,M,55 +
0.0,0.0,M,35 - 54
22.41,140.95,M,35 - 54
6.08,39.66666666666666,M,35 - 54
10.18,65.86666666666667,M,55 +
26.97,140.06666666666666,M,35 - 54
57.1,313.1166666666667,M,35 - 54
0.0,0.0,M,35 - 54
47.48,240.96666666666667,M,35 - 54
105.74,492.0,M,35 - 54
28.59,150.15,M,35 - 54
7.02,49.766666666666666,M,35 - 54
80.1,491.05,M,35 - 54
22.72,134.95,M,35 - 54
70.60000000000001,632.25,M,18 - 34
51.74,288.2,M,18 - 34
13.27,61.650000000000006,M,18 - 34
7.8,51.333333333333336,M,35 - 54
10.92,51.68333333333333,M,18 - 34
18.03,80.0,M,35 - 54
30.22,281.78333333333336,F,55 +
0.0,0.0,M,18 - 34
10.04,65.0,M,55 +
32.89,171.0,M,35 - 54
12.0,71.0,M,35 - 54
50.94,392.15,F,35 - 54
112.3,516.5166666666667,M,18 - 34
0.0,0.0,M,35 - 54
7.32,60.0,M,35 - 54
37.6,242.81666666666663,M,55 +
7.800000000000001,38.5,M,18 - 34
0.0,0.0,F,35 - 54
29.77,173.98333333333335,M,35 - 54
16.07,80.05,M,35 - 54
32.37,190.0,M,35 - 54
0.0,0.0,F,35 - 54
42.28,215.15,M,35 - 54
36.43,160.46666666666667,M,35 - 54
14.71,74.63333333333333,M,35 - 54
0.0,0.0,F,35 - 54
28.24,146.11666666666667,M,35 - 54
27.47,145.0,M,35 - 54
48.63,262.6,M,35 - 54
35.48,236.7,M,35 - 54
0.0,0.0,M,35 - 54
62.04,317.7833333333333,M,35 - 54
0.0,0.0,M,55 +
17.509999999999998,94.28333333333332,M,35 - 54
38.38,193.25,M,35 - 54
4.99,28.73333333333333,M,35 - 54
114.0,485.45,M,35 - 54
123.7,634.3166666666666,M,35 - 54
0.0,0.0,M,35 - 54
0.0,0.0,M,35 - 54
10.02,57.16666666666667,F,18 - 34
35.45,236.6,M,35 - 54
0.0,0.0,M,18 - 34
0.0,0.0,M,55 +
26.41,141.75,M,35 - 54
32.11,214.8333333333333,M,18 - 34
21.23,120.25,M,18 - 34
46.67,256.7166666666667,M,55 +
102.59,440.0833333333333,M,35 - 54
4.84,24.95,M,18 - 34
10.5,46.86666666666667,M,35 - 54
20.74,113.8,M,18 - 34
16.09,115.88333333333333,F,35 - 54
58.8,314.2,M,35 - 54
0.0,0.0,M,35 - 54
7.55,31.05,M,18 - 34
54.74,375.1833333333333,F,35 - 54
70.77,356.08333333333337,M,35 - 54
36.17,455.0,M,35 - 54
71.46000000000001,400.5,F,55 +
89.31,375.4,M,35 - 54
4.94,35.25,M,35 - 54
21.32,161.9,M,35 - 54
26.77,138.4,M,35 - 54
0.0,0.0,F,35 - 54
78.2,361.8833333333333,M,55 +
28.19,136.4,M,35 - 54
5.39,25.666666666666668,M,18 - 34
4.88,23.683333333333334,M,35 - 54
1.96,31.516666666666666,M,18 - 34
108.73,489.73333333333335,M,35 - 54
4.2,28.03333333333333,M,35 - 54
12.55,59.41666666666666,M,35 - 54
28.78,188.21666666666667,M,35 - 54
45.95,210.56666666666663,M,18 - 34
0.0,0.0,M,35 - 54
0.0,0.0,M,35 - 54
64.299,369.95,M,35 - 54
15.08,85.03333333333333,M,18 - 34
15.46,115.3,M,35 - 54
84.63,416.01666666666665,M,35 - 54
108.87,509.6,M,18 - 34
131.809,630.05,M,35 - 54
36.04,187.25,M,35 - 54
0.0,0.0,M,35 - 54
20.19,98.35,M,18 - 34
103.339,436.56666666666666,M,18 - 34
56.33,341.1333333333333,M,55 +
94.69,465.7166666666666,M,35 - 54
17.23,107.05,M,18 - 34
17.76,99.83333333333334,M,18 - 34
21.01,129.23333333333335,F,35 - 54
15.03,79.0,M,18 - 34
0.0,0.0,M,35 - 54
25.94,176.56666666666666,F,18 - 34
0.0,0.0,F,18 - 34
161.87,739.0,F,18 - 34
99.399,547.0,M,55 +
31.06,192.1833333333333,F,35 - 54
0.0,0.0,M,35 - 54
75.309,417.65,F,35 - 54
7.15,45.21666666666667,M,35 - 54
14.54,99.71666666666668,M,35 - 54
132.01,688.15,F,18 - 34
6.07,36.083333333333336,M,18 - 34
0.0,0.0,M,35 - 54
68.68,333.05,M,35 - 54
56.98,280.7833333333333,M,35 - 54
72.61,489.7166666666667,M,55 +
36.988,186.1,M,18 - 34
68.66,365.06666666666666,M,35 - 54
88.27,459.5,M,55 +
62.76,448.06666666666666,M,35 - 54
23.51,138.28333333333333,M,55 +
0.0,0.0,M,18 - 34
63.06,334.1166666666667,M,55 +
62.52,288.83333333333337,M,35 - 54
77.55,367.73333333333335,M,18 - 34
106.81,519.3666666666667,M,35 - 54
8.119,42.03333333333333,M,35 - 54
78.86999999999999,368.58333333333337,M,35 - 54
0.0,0.0,M,35 - 54
25.95,128.36666666666667,M,35 - 54
33.08,190.26666666666665,F,35 - 54
49.14,285.81666666666666,M,18 - 34
38.13,237.75,M,35 - 54
33.08,183.0,M,35 - 54
26.26,145.38333333333333,M,35 - 54
58.789,278.6166666666667,M,35 - 54
36.7,190.56666666666663,M,35 - 54
5.4,29.58333333333333,M,18 - 34
21.18,123.2,F,18 - 34
10.0,54.21666666666667,M,35 - 54
17.59,104.75,M,18 - 34
32.22,174.55,M,35 - 54
41.62,198.65,M,18 - 34
0.0,0.0,M,55 +
0.0,0.0,F,18 - 34
0.0,0.0,M,35 - 54
39.44,276.0,M,18 - 34
21.49,105.06666666666666,M,35 - 54
24.15,148.41666666666669,M,55 +
27.55,177.23333333333335,F,35 - 54
0.0,0.0,M,18 - 34
39.98,261.0,M,18 - 34
28.38,222.65,M,35 - 54
0.0,0.0,M,18 - 34
0.1,7.766666666666667,M,55 +
0.0,0.0,M,35 - 54
22.73,139.26666666666665,F,35 - 54
0.0,0.0,F,18 - 34
0.0,0.0,M,35 - 54
13.93,75.0,M,18 - 34
0.0,0.0,M,35 - 54
0.0,0.0,M,18 - 34
44.278,194.38333333333333,M,35 - 54
0.0,0.0,M,35 - 54
32.54,158.95,M,35 - 54
52.82,238.96666666666667,M,35 - 54
65.53,393.6166666666667,M,35 - 54
7.47,35.36666666666667,M,18 - 34
0.0,0.0,M,18 - 34
22.78,136.46666666666667,M,35 - 54
56.2,301.65,F,55 +
10.09,107.81666666666666,F,35 - 54
7.51,48.083333333333336,M,55 +
32.42,190.01666666666665,M,35 - 54
36.29,207.55,M,35 - 54
20.02,117.0,M,35 - 54
16.65,79.66666666666666,M,35 - 54
53.44,256.6,M,35 - 54
27.680000000000003,151.41666666666666,M,35 - 54
34.98,193.31666666666663,M,35 - 54
49.43,299.4166666666667,F,18 - 34
11.28,73.81666666666666,M,35 - 54
96.01,434.9333333333333,M,18 - 34
44.93,243.8333333333333,M,18 - 34
27.21,146.56666666666666,M,18 - 34
0.0,0.0,M,35 - 54
0.0,0.0,M,35 - 54
43.37,196.65,M,35 - 54
35.43,167.25,M,35 - 54
0.0,0.0,M,35 - 54
40.19,207.66666666666663,M,35 - 54
0.0,0.0,M,35 - 54
25.3,121.0,M,35 - 54
49.67,238.63333333333333,M,35 - 54
15.31,67.4,M,35 - 54
20.36,118.96666666666668,F,35 - 54
0.0,0.0,M,35 - 54
8.85,43.25,F,35 - 54
49.11,239.78333333333333,M,35 - 54
21.66,139.88333333333333,M,35 - 54
32.59,178.75,F,35 - 54
76.58,447.5333333333333,F,18 - 34
19.9,159.1,F,35 - 54
109.06,465.6,M,18 - 34
0.0,0.0,M,35 - 54
74.62,331.0333333333333,M,18 - 34
0.0,0.0,M,35 - 54
29.51,150.63333333333333,F,18 - 34
55.39,400.35,F,35 - 54
0.0,0.0,M,18 - 34
0.0,0.0,F,35 - 54
0.0,0.0,M,18 - 34
13.229,56.06666666666666,M,18 - 34
26.19,146.0,M,35 - 54
62.79,296.06666666666666,M,35 - 54
38.91,178.51666666666665,M,35 - 54
0.0,0.0,M,55 +
0.0,0.0,M,18 - 34
17.08,95.08333333333331,M,35 - 54
63.61,323.0,M,35 - 54
17.54,99.65,M,35 - 54
38.72,213.0,M,35 - 54
51.96,296.1166666666667,F,35 - 54
8.42,67.0,M,35 - 54
0.0,0.0,F,35 - 54
0.0,0.0,F,35 - 54
0.0,0.0,M,18 - 34
14.93,98.56666666666666,F,35 - 54
0.0,0.0,M,35 - 54
37.88,222.38333333333333,M,35 - 54
51.49,254.31666666666663,M,35 - 54
36.38,209.38333333333333,F,35 - 54
85.59,487.9,M,18 - 34
0.0,0.0,F,18 - 34
45.81,241.53333333333333,M,18 - 34
13.98,70.0,M,35 - 54
46.28,255.65,M,35 - 54
39.44,285.6333333333333,F,18 - 34
0.0,0.0,M,35 - 54
37.909,217.1833333333333,M,18 - 34
78.02000000000001,389.95,M,35 - 54
22.74,125.73333333333332,M,35 - 54
0.0,0.0,M,35 - 54
11.47,58.3,M,35 - 54
0.0,0.0,F,18 - 34
20.7,156.0,M,18 - 34
32.47,153.4,M,35 - 54
97.45,942.0,M,55 +
73.8,368.15,M,35 - 54
14.66,78.28333333333333,M,35 - 54
10.72,62.0,M,35 - 54
0.0,0.0,M,35 - 54
27.62,149.81666666666666,M,18 - 34
0.0,0.0,F,18 - 34
26.4,135.13333333333333,M,35 - 54
61.2,346.06666666666666,F,18 - 34
83.94,445.65,M,18 - 34
72.53999999999999,441.0,M,55 +
0.0,0.0,M,35 - 54
0.0,0.0,M,55 +
69.5,347.0833333333333,F,18 - 34
45.11,207.6833333333333,M,18 - 34
23.99,139.13333333333333,M,35 - 54
44.74,269.15,M,18 - 34
29.24,139.03333333333333,F,35 - 54
74.06,333.7166666666667,M,18 - 34
0.0,0.0,F,35 - 54
7.78,48.05,M,18 - 34
39.16,240.28333333333333,M,18 - 34
16.94,94.61666666666667,M,35 - 54
40.25,222.55,M,35 - 54
4.79,28.03333333333333,F,18 - 34
0.0,0.0,M,35 - 54
4.9,37.16666666666666,F,35 - 54
9.54,43.63333333333334,M,18 - 34
0.0,0.0,M,35 - 54
13.94,82.28333333333333,M,35 - 54
54.8,235.38333333333333,M,18 - 34
5.14,73.66666666666666,M,35 - 54
